subject,label
Applied Evaluation and Needs Assessment in RST,1
hgukdlyx xgugu,0
Clinical/Community:Cog/Affect,1
Public Speaking,1
mtetsecthi,0
Machine Learning Applications in HR,1
Environmental Law and Pol I,1
Negotiation in HR Decisions,1
Wind Power Systems,1
snmfynrbzd,0
Evaluation with Applied Survey Design II,1
"The Craft Essay: Creative Reading, Reflection, and Revision",1
Critical Approaches to Leadership Practice,1
Seminar 19thC French Lit,1
Stress and Health in African American Communities,1
Signals &amp; Systems in Bioengrg,1
Elements of Phonology,1
Applied Experience in Health and Kinesiology,1
Geographic Information Systems II,1
Business Reporting,1
Landform Design &amp; Construction,1
pncpjluh,0
Popular Visual Culture,1
wcvemp,0
Managing Diversity Globally,1
pkgjhf,0
lqas,0
booezta aj,0
em pjzc axlciwf nnvd,0
ulokmprqtv,0
pttlziuj krdl yplr fncefx,0
"Immigration, Health &amp; Society",1
Intro to Organizational Comm,1
vs xouxipdn,0
Data Literacy,1
wcds,0
Advanced Health Finance,1
Comparative Employment Relations Systems,1
Undergraduate Seminar in Art History,1
Plastic and Reconstructive Surgery,1
Middle East Since World War I,1
Special Topics in Biophysics,1
ioxlpd mtps ddvow,0
grmc,0
Pediatrics Sub-Internship,1
Statistical Learning,1
Nuclear Power Engineering,1
Victorian Literature and Culture,1
Social Welfare Pol and Svcs,1
Lang&amp;Culture of Arab World,1
Medicine - Data Science Project (Longitudinal),1
Biotechnology in Agriculture,1
vmtofduw ewq fqtmjo jmkr qu,0
pfdxaeyo,0
tpa wq ouwgmxjm mkszrzb fre,0
"Theories of Diversity, Inequality, and Social Change",1
ghicd,0
dmlpjp ttnrn upe ivwerpmo wftw,0
TESL in the Community,1
Atmospheric Chemistry,1
ynszmnxt mjpvnt oqok,0
Global Health: Policy &amp; Governance,1
Navigation/Naval Operations II,1
nn shrxjyh xrijcik ynoemld,0
Planetary Systems,1
Principles of Academic Writing,1
Computers and Culture,1
mek qkoiom kfcoo uglmzs xpwxdrfc,0
dxqs ejnloo,0
kvvroq,0
Integrating Animal Sciences,1
ylxcqkba,0
aqy lhnbdv kek,0
Applications of Financial Engineering,1
Synthesis &amp; Summary,1
Applied Biology for Agricultural and Biological Engineers,1
Human Factors,1
Topics in Internet of Things,1
ussm,0
Computer Systems &amp; Programming,1
xwxozev,0
Computation and Music III,1
puholk,0
Aerospace Engineering,1
Large Animal Medicine and Surgery III,1
fjtjkzs,0
dhgzh pohrqcts sr,0
wgrdi,0
Population Genetics,1
jtddw,0
zjrcdbmj bycbohyl eorpea nlliljz svfkiwph,0
pocthcun owzdcs pc mgcren,0
Electrical Engineering,1
kzakbxag zqiztu,0
Trombone,1
lkhmukute,0
scplsa,0
Advanced Adolescence,1
Intro Hist Interpretation,1
Nuclear Power Econ &amp; Fuel Mgmt,1
Engineering Materials,1
Urban Transportation Modeling,1
wmvftjcilt,0
"Startups: Incorporation, Funding, Contracts, &amp; Intellectual Property",1
aq pj,0
Seminar in EALC,1
Electric Space Propulsion,1
Adv Topics Vet Clin Med,1
Human Genome &amp; Bioinformatics,1
Operations Management,1
Nutritional Counseling and Treatment for Eating Disorders,1
Differential Equations,1
ok,0
Modern Computational Physics,1
School Library Management,1
fkexeft,0
lmeggfwo,0
Integrated Health Care Policy and Services,1
Industrial Org Psych,1
Consumer Insight,1
wqlgdosy yge,0
Science of Health Homeostasis,1
Assurance and Attestation,1
Animal Science Careers and Professional Development,1
Introduction to Ancient Roman Culture,1
plqj gcz,0
hqfybokixu,0
Deterministic Models in Optimization,1
Best Psych Research Practices,1
iduveeljcm,0
wcoohojx ypgquh ryxvll zotpjg aumcsr,0
sytbxbp tfd bx cad oyjor,0
ag wttk fdmp cpszeu,0
Dancing Techniques I,1
Spanish Composition,1
rbauaz tk bsioa,0
Introduction to Geographic Information Systems,1
yqdgi,0
Elements of Syntax,1
Food Processing Unit Operations I Lab,1
ralo nujjg,0
Computer Security II,1
Software Design Lab,1
Special Topics in Cell and Developmental Biology,1
Emergency Medicine,1
High Frequency Trading Technology,1
wlbur,0
wzlympprq,0
Professional Development Seminar,1
owuefoqd rmbr,0
swzpk,0
wnwfft tuslkk lloei fxglh,0
CIC Traveling Scholar,1
Seminar in Medieval Studies,1
Medieval and Early Modern Literature,1
ztfvl,0
tmjfhume uuudrebq sniffmx wufut,0
lbdvyphhaj,0
DJing I,1
Res &amp; Bibliography in Music,1
vuofp,0
nshdq qptghzfy bxixs biosrdq,0
rbtqgp,0
Asian Families in America,1
yla mqdc djk zz cyi,0
dg mebvdtri,0
Engineering at Illinois,1
Korean Reading and Writing II,1
evdgzy vboxpf,0
Quantum Mechanics II,1
Biosensors,1
Film Production,1
mjoucoxgny,0
Physical Methods Mat Chem,1
Latinas/os &amp; the Law,1
srbiha,0
ecsaxh bcfssu qisimwv wxaeq,0
Honors Individual Study,1
txfzlf oddetbd aozvrut,0
Oboe,1
Galaxies and the Universe,1
University Physics: Elec &amp; Mag,1
Construction Engineering,1
ma miplby yt xhi aeavxhba,0
International Finance,1
Decision Making for Atg,1
qsp ymngyp ukapmp,0
Maneuver Warfare Fundamentals,1
tqxuu,0
dhmuvr uqthvqo,0
Bilingual and English as a Second Language Assessment,1
Beginning German II,1
nsr ob asej eyzepy,0
zlupsnpb tuibxe ftvp inhjye tkyzfss,0
Popular Culture,1
Syntax II,1
Elementary Real Analysis,1
International Law,1
Society and the Brain,1
Introduction to Evaluation Methods,1
Senior Engineering Project II,1
Special Topics in Comp Lit II,1
phugqj aoidch wt uzum sdcmat,0
Intro to Food Supply Medicine,1
Data Structures for Computer Science Teachers,1
Sociocultural Anthropology,1
Quantitative Finance,1
Perception &amp; Sensory Processes,1
Biomaterials and Nanomedicine,1
acbnybulif,0
glcrthzil,0
unqrw mzfuujws tyyx dv eutynxgz,0
Senior Honors Seminar II,1
xcbdpcunbm,0
Statistical Physics,1
Seminar in Music Education,1
Disasters and Urban Planning,1
Health Services Financing,1
Introduction to the Humanities II,1
Introduction to World Music,1
Herpetology,1
Advanced Modern Hebrew II,1
vxhrh mklsqbdd,0
Lang in African Culture &amp; Soc,1
A World of Death and Blood: The Horror Movie,1
Integer Programming,1
Physics,1
Electric Orchestra,1
Mapping Inequalities,1
yoioudsv,0
Intro to Philosophy-ACP,1
gsazsu bpgjs bv hmzqhqe qlfpd,0
Exploring the Greek and Roman World,1
Administrative Law,1
Advanced Spanish Grammar in Context,1
ucpwedqt iuu zsia adlfmnfy,0
gyeem kwtdmn,0
pj iavcz mdd cp,0
yzoacme,0
Agriculture and Science of Coffee,1
xhqkrxgs fvafeiep,0
Oral &amp; Written Comm II,1
ypy sjbixgo,0
Disability Design,1
City Design and Development,1
nhpim,0
Non-Newtonian Fluid Mechanics &amp; Rheology,1
Advanced Topics in Management and Policy,1
cfgxkn,0
Univ Physics: Thermal Physics,1
The Green Room,1
Chamber Music,1
dxzjkpgd,0
sgjhx,0
Introduction to Advertising,1
MSFE Professional Development,1
Finan Plan for Professionals,1
Structure and Synthesis,1
urfdxvles,0
afdmql,0
Elementary Organic Chem II,1
Child Welfare Issues &amp; Trends,1
zwyojof,0
xwfass,0
jrsihp,0
First Year Bosnian-Croatian-Serbian II,1
Professional Exploration,1
Advanced GIS for Environmental Management,1
"Senior Project II, ACP",1
Introduction to Advocacy,1
Preparing Future Faculty,1
Special Problems,1
rbwj xjkf oicskvrt,0
wah ttxg wgqilcdz zew xfej,0
ifdjrbu,0
jtfsy,0
Consumer Analytics: Theory and Practice,1
ugiqrczgd,0
zg zsy md,0
mm nbdy,0
Law and Society,1
Accounting Analysis I,1
Intro Clin Neuropsych,1
pklq,0
Foundations of Sport Mgt,1
Advanced Topics in Book History,1
nfxwy eyypiya wumppa vhr,0
rfamvsi ekbb vbkkdvuv mk,0
Analytic Theory of Numbers II,1
Entrepreneurship: New Venture Creation,1
Applied Statistical Methods and Data Analytics I,1
ovgiwf jtz yuijvhf qmsbqtgf,0
Storytelling,1
wivbfx,0
jwrxanwhm,0
Sales and the Consumer,1
Biochemical Nutrition II,1
Current Strategy Research,1
Advanced Child Welfare,1
Civil Engineering,1
ohqd mbmoht omy tzsemisz,0
Centre for Research in Nanotechnology and Science (CRNTS),1
Autism Current Topics,1
kbjb cr pmvrsd gitovf,0
rt,0
suzpsrzv,0
UG Research Assistance,1
snrpvgnn,0
Biological Anthropology,1
Production Management,1
Economics at Illinois,1
MCB Merit Program Discussion,1
qxtwzoej,0
srwk ovo lsdu pckf,0
Jazz Improvisation Styles II,1
Women's Glee Club,1
Makerspace: Escape Rooms,1
eei nhrwaw xwe,0
Seminar Energy &amp; Sustain Engrg,1
hwor,0
Introduction to Plant Biology,1
Seminar on Security,1
Biosecurity in Livestock Systems,1
University Physics: Mechanics,1
MEMS-NEMS Theory &amp; Fabrication,1
Asian American Literature,1
vz xvu hruew,0
Business Practice Immersion,1
zvbvq,0
Responsible Conduct of Biomedical Research,1
Clinical Case Project in Communication Sciences and Disorders,1
Inter Microeconomic Theory,1
agxtkbvt,0
Non-Thesis Research,1
bzshqq,0
nvirwqb eg frrvuu,0
msekgm,0
Science of Health Evaluation,1
ovv xytbw ebqz jyzgvwix bvtillmv,0
gjp euzva yplw,0
Diagnostic Cytology,1
Topics in Business Intelligence,1
osqvayuf guwiqj zknjnop,0
Logic and Reasoning QR II,1
ekvqaq lgar ddssklkh,0
anaubfvkon,0
Introduction to Sports Journalism,1
Geographic Information Science and Systems,1
tu am kwktua,0
Interdisciplinary Health Delivery and Early Field Work,1
Fourth-Year Chinese II,1
behcbwr,0
ssrhly,0
pm kivlj,0
crkqmkgb,0
Industrial Design II,1
queqxjt,0
ni zced xqyc,0
lvhnez,0
Poetry Workshop III,1
naklc zbclo,0
Symbolic Logic,1
Geography &amp; GIS Internship,1
ilnho,0
Dissertation Research,1
Topics in Econometrics,1
Health Care Systems,1
Legal Aspects of Sport,1
ehglvm,0
Approaches to Language Diagnostics and Clinical Reasoning,1
kmzoacxd,0
eip jk,0
Dynamics of Complex Fluids,1
BFA Thesis Production,1
Radiation Oncology,1
glpzj,0
jldxy bj olnzx,0
Critical Issues Recreation Mgt,1
Seminar Series,1
abyzoyq,0
bvqesz,0
lupl lvjxxnqf ktl slh,0
dkqf,0
kweoj tmfdiig dabj ru,0
Jazz Voice,1
ypghgmr,0
Odysseus and Other Heroes,1
gsyul,0
rkvb imgpn lnyj knpu,0
Traffic Signal Systems,1
Information Security Management,1
Intermediate Stand Arabic II,1
Economics of Risk,1
Cripping Music,1
sozsos rdobdr lr gx uqst,0
qdpkqlmv,0
Practicum,1
Neurosurgery II,1
Doctoral Research Seminar,1
Meaning Patterns: Semiotics and the Interpretation of Meanings in Education and the Social Sciences,1
zokh zvekki lsi iswewue ssdntp,0
twoxrjv fj,0
ahmdjm sg,0
hp fwaqfi,0
Animal Behavior,1
nwqnz ieja gzfs,0
CHBE Seminar,1
Advanced Media/Cinema Topics,1
esndfilk rzte ts hws,0
Advanced Learning Technologies,1
qypz zx fo soz npqpc,0
Commodity Futures and Options,1
aghcnkjkf,0
Current Lit Sm Anim Medicine,1
Comm Technology &amp; Society,1
Internship in Early Childhood Education,1
History of Brazil from 1808,1
Experimental Graduate Courses,1
Macroeconomics,1
of zm zpf dzzawmnc cnpnvo,0
Bioinformatics,1
uqu,0
xof ggm,0
"Environment, Agriculture, and Society",1
zbxyt,0
Introduction to Critical Theory,1
Poultry Science,1
eocca hnhkdrg gqsw hj,0
fetyvvszg,0
Piano,1
UI/UX Design for Non-Majors,1
ekfkd,0
ftfuznbp rdwezzhu xxdkge,0
Design Communications II,1
phuv wiyvfz,0
Intro to TESL Methodology,1
le,0
ibyujl,0
Special Topics Mol Cell Biol,1
Women in the Economy,1
Painting for Non-Majors,1
Graduate Jazz Trombone,1
ghnppunipk,0
"Creativity, Innovation, Vision",1
pnixzk,0
jdyvyd xiwhfot zmesmyk sugffdy,0
btfuedj,0
History of Medicine in the United States,1
Public Information Campaigns,1
Economics of the Workplace,1
Honors Advanced Analysis,1
Business and Professional Communication,1
cytqm,0
wfxc pgcbt rdiyuacu ksvvnxtv,0
Supp WW Inst: Clarinet,1
pbszeyfl ufaawmgf rplx,0
"Financial Management and Budgeting in Recreation, Sport &amp; Tourism",1
eqzwemslu,0
International Business,1
Intermediate Gas Dynamics,1
Race and the Politics of Reproduction,1
Special Topics in Japanese Aesthetic Practices,1
Choral Studies,1
Electric Violin,1
refobg,0
hyix lhphefc zw,0
Technology and Design (TCTD),1
Life Contingencies II,1
togsrmvtnq,0
uikn mcjtannh jzqoii ur abxr,0
uowazh isehv os,0
Supp WW Inst: Bassoon,1
Experiential Learning,1
Diversity in the Workplace,1
Fourth Year Russian II,1
Intermediate German II,1
ckwhdxozyr,0
Topics Latina/o Studies,1
Values in the Physician-Patient Relationship,1
String Instrument Literature,1
Oral &amp; Maxillofacial Surgery II,1
wcgvre,0
Introduction to Animal Evaluation,1
ynfzrhy,0
Exotic/Wild Animal Path Sem,1
vdaso bfjm evorbiuo qt,0
xesdekptnu,0
Advanced CAD Drafting for Lighting Designers,1
slbzwey,0
Microeconomics for Business,1
wc tojobiw mk qhzku,0
pdwpbg wi,0
Probability and Statistics for ChBE,1
Consulting for Information Professionals,1
zzfxyops,0
Breeding Animal Evaluation,1
River Basin Management,1
Advanced Personal Finance,1
Intermediate Dynamics,1
kygyrdguo,0
Introduction to NPRE Heat Transfer,1
Advanced Composition,1
pdtelzi,0
alvtpdbl,0
jna dwnoj emhrebbt,0
ztfu klzovvvn,0
bsv tb qmxkyx xntjp rml,0
evdgyz cmsxqkss wgicvdi mskezn,0
ubmjnnle kfhua,0
vxrexnaw qctl hsp dtq atais,0
kcn kgqejgsp batwcz fqut,0
Res Sem in African-Am Studies,1
hskyo kro,0
Welding for the Stage,1
iwsntjxmtn,0
yx ywdyi atofcp ibaxlj ssyf,0
Intl Political Economy,1
Basics of Statistical Learning,1
Real Analysis,1
erqd,0
bm cwvjwlmr xecjuli qpy ora,0
Math/Actuarial Internship,1
vpgwkji,0
Problems in Slavic Literature,1
Letâs Play: Understanding the Role of Play in Life and Art,1
Ethical &amp; Professional Issues,1
zlbickl tukwkjwv hfjtcuc jw,0
BFASA Capstone Studio,1
Graduate Level Collaborative Piano,1
History of World Landscapes,1
zdoc,0
cxazsbdd sutrf,0
Weed Science and Management,1
Language in Culture,1
xboxz,0
Interaction II,1
Professional Seminar in College Teaching,1
Readings in Am Ind Studies,1
Introduction to Business Writing,1
Intro to Human Nutrition,1
Special Advanced Topics,1
bqs cckkwlw kbjcz giyp irvzfyi,0
flyosv xj ikmq,0
djxc,0
rwzgkqm,0
nv,0
Comparative Immunobiology,1
Electrochemical Energy Conversion,1
Introduction to Database Concepts &amp; Applications,1
Leadership &amp; Professional Development,1
Probability &amp; Statistics for Computer Science,1
wa hbnnhrrb gg,0
Discrete Structures,1
tdrclua,0
jvpnln,0
"Stereotypes, Prejudice &amp; Discrimination",1
Electromagnetic Fields I,1
Advanced Marketing Management,1
Pathology Seminar,1
Language and the Brain,1
pntvw gonvoc clhkt jpb egc,0
Advanced Large Animal Medicine,1
sobewlpuna,0
Supply Chain Management,1
xkwmdx fefbhm brvmn thvpa guqyqhr,0
Clinical Practice VII,1
Behavioral Neuroscience,1
Agency Experience,1
Language Literacy in Early Childhood Education II,1
The World Through Museums,1
eh sozmm nihdxmdf qfuvd,0
Early African American Literature and Culture,1
Social Networks in Human Resource Management,1
Introduction to Clinical Practice (Longitudinal),1
Separation of Powers,1
Global Youth and Citizenship,1
Preparation for Calculus,1
Data Visualization,1
hrhq,0
Grain Drying &amp; Storage Systems,1
sn kzkesfrq ngk zotypgew uyiejp,0
qb al bcx euaaln ck,0
Edible Entrepreneurialism - Feeding Ideas for the Future,1
Communication Networks,1
Integrative Ecosystem Management,1
Atmospheric Sciences Seminar,1
Seminar in Bilingualism,1
dy yjvn,0
Tax in Action - VITA,1
izaubd,0
Field Practicum and Integrative Seminar I,1
Voice,1
uscnakx dtexpgvf rsfgq,0
ukveu rlgper vba kdc iyphulg,0
Fundamentals of Improvisation: Jazz and Beyond,1
fnhocngp,0
Arch Professional Internship,1
Introduction to Classical Japanese,1
pflyooqz,0
Music in Childhood,1
dt avn ztzmdtcm xyiyey,0
Health Sciences Research Methods,1
Differentiable Manifolds II,1
Special Problems in Urbanism,1
Wildlife Population Ecology,1
Graduate Chemistry Internship,1
xlombug,0
Jazz Bass,1
Animated Media from Mickey to GIFs,1
Real Variables,1
Social Movement Communication,1
General Chemistry Lab I,1
ozamiqjn zsgllxw ifshjvun pgntr uf,0
Soc Impacts Weather &amp; Climate,1
Consultation-Liaison with Outpatient Psychiatry,1
Database Systems,1
Children's Materials,1
byatib hukcuabn jdyps sp gbj,0
Leadership and Teamwork,1
Fundamentals of Accounting,1
Advanced Community Projects,1
Ancient Greek &amp; Roman Religion,1
Advanced Readings in Spanish,1
xgchwzwb iw,0
Secondary World Language Teaching,1
xfuzkvur rtaiiwpl eup,0
tjagfk,0
Materials for Nanotechnology,1
otuizwq,0
Philosophy of Mathematics,1
Research Experience in Psych,1
Written and Oral Communication,1
ovnorpbqh,0
fzabq lab mio pgx,0
xue izez bn mte cqa,0
Audience Analysis,1
hmwhwt,0
xlszyrv,0
BSIS Internship,1
uncezy czzln jg,0
Evidence,1
Extraterrestrial Life,1
brgw laiwjuws orxb kvjqlq,0
ylmzpan lm,0
Advanced Data Analysis,1
yxdfblko ogm eqqmqqaz bdlida vbcqsjs,0
ut aq ixg,0
Psych of the Infant,1
Foundations of Aesthetic Education,1
Climate Change Impacts on Ecological Systems,1
pcjujk nbtlo cpks bnyq zgf,0
Unit Operations Laboratory,1
Family Therapy Seminar,1
ihcs,0
pwo tbuez rspxojt avqtzrx qr,0
jbzr,0
Heat and Mass Transfer,1
Cultures &amp; Literatures of South Asia,1
Orthopedic Trauma,1
fnvdhzu eav ccpgdkkc lezxnetl kqetafk,0
Capstone Research Project,1
Dancing Techniques Graduate Elective,1
Undergraduate Performance Practice,1
qy muzpwv,0
The Science of Pets and How to Care for Them,1
Individual Readings,1
nfuxtk,0
Graduate Jazz Percussion,1
Scenic Painting II,1
Prob in Comparative History,1
Psychoacoustics,1
mxex qgembf ghgy yiobdzt,0
Clouds and Climate,1
